,PyDate,massacre,remarkable_event,shelling,intervention,air_strike,chemical,battle,agreement
0,2011-04-01,6,0,1,0,0,0,0,0
1,2011-05-01,11,0,4,0,0,0,0,0
2,2011-06-01,2,0,0,0,0,0,0,1
3,2011-07-01,4,0,0,0,0,0,0,0
4,2011-08-01,2,0,4,0,0,0,0,0
5,2011-09-01,0,0,5,0,0,1,0,0
6,2011-10-01,3,0,11,0,0,0,0,1
7,2011-11-01,3,0,5,0,0,0,0,1
8,2011-12-01,8,0,5,0,0,0,0,0
9,2012-01-01,14,0,4,2,0,0,0,0
10,2012-02-01,16,0,41,9,0,0,2,1
11,2012-03-01,6,0,21,12,0,0,2,0
12,2012-04-01,1,0,2,1,0,0,0,0
13,2012-05-01,2,0,3,1,0,0,0,0
14,2012-06-01,21,0,36,2,0,1,0,0
15,2012-07-01,35,0,62,3,0,1,4,2
16,2012-08-01,33,0,50,4,2,1,3,0
17,2012-09-01,50,0,80,9,2,0,0,0
18,2012-10-01,24,0,67,6,13,0,6,1
19,2012-11-01,20,0,39,8,19,0,4,0
20,2012-12-01,25,0,35,5,17,5,17,0
21,2013-01-01,28,0,34,10,24,2,11,0
22,2013-02-01,12,0,21,2,13,2,12,0
23,2013-03-01,9,0,17,3,1,5,11,1
24,2013-04-01,19,0,46,4,4,15,8,0
25,2013-05-01,13,0,33,3,2,11,9,4
26,2013-06-01,10,0,43,9,6,18,20,1
27,2013-07-01,8,0,19,1,3,13,2,1
28,2013-08-01,22,0,23,3,1,33,7,1
29,2013-09-01,32,0,58,4,6,35,10,6
30,2013-10-01,48,0,73,1,9,4,8,3
31,2013-11-01,37,0,75,1,26,4,12,2
32,2013-12-01,56,0,80,5,19,11,15,7
33,2014-01-01,40,0,79,4,18,17,6,12
34,2014-02-01,23,0,64,1,7,1,7,2
35,2014-03-01,29,0,93,5,22,4,12,5
36,2014-04-01,10,0,80,2,38,4,24,6
37,2014-05-01,3,0,90,2,54,4,40,5
38,2014-06-01,16,0,74,3,68,2,15,7
39,2014-07-01,14,0,77,1,60,1,24,10
40,2014-08-01,7,0,50,2,27,3,19,3
41,2014-09-01,0,0,0,0,0,0,0,0
42,2014-10-01,0,0,0,0,0,0,0,0
43,2014-11-01,2,0,1,0,1,0,2,2
44,2014-12-01,6,0,5,0,1,0,0,0
45,2015-01-01,0,0,0,0,0,0,0,0
46,2015-02-01,0,0,0,0,0,0,0,0
47,2015-03-01,0,0,0,0,0,0,0,0
48,2015-04-01,0,0,0,0,0,0,0,0
49,2015-05-01,0,0,0,0,0,0,0,0
50,2015-06-01,0,0,0,0,0,0,0,0
51,2015-07-01,0,0,0,0,0,0,0,0
52,2015-08-01,7,0,1,0,0,6,0,0
53,2015-09-01,1,0,2,0,0,1,2,0
54,2015-10-01,1,0,0,2,0,0,0,0
55,2015-11-01,1,0,3,1,0,0,0,0
56,2015-12-01,2,0,1,4,0,0,0,0
57,2016-01-01,1,0,0,1,0,0,0,0
58,2016-02-01,2,0,3,5,0,2,0,3
59,2016-03-01,1,0,0,1,0,0,2,0
